id,name,latitude,longitude,total_docks,street_address
3373,11th & Wood,39.95817,-75.15668,15,1035 Wood Street
3374,26th & Poplar,39.9728,-75.17971,18,2619 Poplar Street
3375,"Spring Garden Station, MFL",39.96036,-75.1402,22,120 Spring Garden Street
3376,Thompson & Franklin,39.97183,-75.14878,8,720 Thompson Street
3378,4th & Arch,39.95238,-75.14728,18,424 Arch Street
3381,48th & Baltimore,39.94845,-75.21807,13,4730 Baltimore Avenue
3382,Walnut & Rittenhouse,39.95038,-75.17309,11,1906 Walnut Street
3383,"3rd & Wildey, Liberty Lands Park",39.96634,-75.14222,19,955 N 3rd Street
3385,8th & Chestnut,39.94974,-75.15424,15,811 Chestnut Street
3387,6th & Girard,39.97012,-75.14666,19,1000 N 6th Street
3388,8th & Brown,39.96634,-75.15097,19,814 N 8th Street
3389,Grays Ferry & Pemberton,39.94431,-75.18128,16,2319 Grays Ferry Ave
3390,"52nd St Station, MFL ",39.96,-75.2244,18,5129 Market Street
3391,54th & City Ave,39.99667,-75.23482,13,2492 N 54th Street
3392,30th & Reed,39.93633,-75.19447,13,3002 Reed Street
3393,2nd & George,39.96727,-75.13999,18,1019 N 2nd Street
3394,Broad & Snyder,39.924,-75.16959,14,2111 S. Broad Street
3395,12th & Carpenter,39.93866,-75.16351,13,1220 Carpenter Street
3396,21st & Passyunk,39.92327,-75.1821,16,2101 W Passyunk Avenue
3397,21st & Washington,39.93906,-75.17824,15,1101 S 21st Street
3398,4th & Oregon,39.91551,-75.15474,15,2645 S 4th St
3399,American & Oxford,39.97502,-75.14006,15,235 Oxford St
3400,12th & Walnut,39.949,-75.16081,18,1205 Walnut St
3403,Wynnefield Station,39.99153,-75.22528,15,5001 Wynnefield Avenue
3404,57th & Master,39.97347,-75.23491,15,1406 N 57th St
3405,Fitzwater & Juniper,39.94167,-75.16502,16,1336 Fitzwater Street
3407,American & Berks,39.9785,-75.13911,15,1800 N American St
3408,2nd & Snyder,39.9216,-75.15,17,2122 S 2nd Street
3409,"7th & Race, Franklin Square",39.95508,-75.15128,20,208 N 7th St
3410,"51st & Regent, Kingsessing Library",39.94201,-75.21838,11,1219 S 51st St
3411,57th & Westminster ,39.96693,-75.23359,15,357 N 57th Street
3412,Cobbs Creek & Florence,39.93771,-75.23373,15,1609 Cobbs Creek Pkwy
3413,47th & Lancaster,39.97115,-75.21596,15,1045 N 47th St
3414,54th & Chester,39.93922,-75.22347,13,5412 Chester Avenue
3417,Germantown & Huntingdon,39.99146,-75.14808,15,996 W Huntingdon St
3418,Broad & Erie ,40.00924,-75.15198,17,1408 W Erie Avenue
3421,Moyamensing & Ritner,39.91972,-75.16408,13,1003 W Moyamensing Ave
3422,JFK Blvd at Schuylkill Yards,39.95619,-75.18647,10,3130 John F Kennedy Blvd
3423,"Ridge & Pensdale, Kendrick Recreation Center",40.02826,-75.21106,15,482 Pensdale St
3425,"York-Dauphin Station, MFL",39.9849,-75.13255,15,107 W Dauphin St
3426,58th & Kingsessing,39.93448,-75.22764,15,5805 Kingsessing Ave
3427,"Aramingo & Huntingdon, Aramingo Square",39.97961,-75.11844,14,2620 Aramingo Ave
3428,57th & Diamond,39.98707,-75.23722,13,2123 N 57th Street
3430,27th & Girard,39.97408,-75.1801,14,2632 W Girard Ave
3431,62nd & Market,39.96239,-75.24522,15,6218 Market St
3432,"Manayunk & Conarroe, Fairview Park",40.03055,-75.21983,11,4420 Manayunk Ave
3434,"Frankford & Columbia, Palmer Park",39.97487,-75.13286,15,1701 Frankford Ave
3435,Huntingdon & Collins,39.98451,-75.12348,13,2117 E Huntingdon St
3436,Allegheny & Richmond,39.98287,-75.10121,13,2801 E Allegheny Ave
3437,Schuylkill & Wharton,39.93931,-75.20336,15,3655 Wharton St
3438,"Cedar & Cambria, Cohocksink Recreation Center",39.98421,-75.11304,13,2885 Cedar St
3439,"Lehigh & B, Temple Episcopal Hospital",39.99033,-75.12759,15,266 E Lehigh Ave
3440,Almond & Indiana,39.98306,-75.10836,13,2995 Almond St
3441,22nd & Hamilton,39.96305,-75.17454,5,2191 Pennsylvania Ave
3442,Kensington & F,39.99426,-75.11791,15,3011 F Street
3443,Terrace & Hermit,40.02155,-75.21339,10,3903 Terrace St
3444,23rd & Venango,40.00959,-75.16596,13,2229 W Venango St
3445,Frankford & Crease,39.97235,-75.13426,3,108 Belgrade St
3446,Overbrook Station,39.9906,-75.249,13,6085 Drexel Rd
3447,2nd & Market,39.95009,-75.14467,25,225 Market St
3448,Broad & Christian East,39.93995,-75.16604,5,1386 Christian St
3449,6th & S Washington Sq,39.94628,-75.15138,21,234 S 6th Street
3450,53rd & Morse,39.98525,-75.2287,11,5300 Morse St
3451,FDR Park,39.90505,-75.17585,16,1502 Pattison Ave
3452,Columbus & Spring Garden,39.95991,-75.13696,16,579 N Christopher Columbus Blvd
3453,60th & Columbia,39.98139,-75.24036,15,5923 W Columbia Ave
3454,4th & Lombard,39.9428,-75.14887,11,475 S 4th St
3455,Moyamensing & Bigler,39.91486,-75.17691,5,1700 Bigler St
3459,63rd & Buist,39.92232,-75.22694,13,6334 Buist Ave
3460,70th & Elmwood,39.91751,-75.23722,13,6941 Elmwood Ave
3461,"69th & Guyer, James Finnegan Playground",39.91532,-75.23281,13,2800 S 69th St
3462,20th & Sansom,39.95135,-75.17391,23,2007 Sansom St
3463,Germantown & St Paul,40.01944,-75.15584,11,4301 Germantown Ave
3464,53rd & Poplar,39.97031,-75.22688,9,5280 Poplar St
3465,18th & Pike,40.01309,-75.15714,12,38660 N. 18th St. 
3468,Snyder & Dorrance,39.92525,-75.1769,13,1830 W Snyder Ave
3469,10th & Phillies,39.90763,-75.16648,21,3500 S 10th St
3470,22nd & Spruce,39.94868,-75.1781,17,2205 Spruce St. 
3472,Bryn Mawr & City Ave,39.99897,-75.23062,4,2437 Bryn Mawr Avenue
3473,23rd & Market ,39.95427,-75.17758,27,2261 Market St
3475,Lemon Hill West,39.96931,-75.1841,48,Kelly Dr & Sedgley Dr
3476,Lemon Hill East,39.96926,-75.1837,51,Kelly Dr & Sedgley Dr
3478,24th & Sansom,39.95197,-75.17943,11,120 S. 24th St.
3000,Virtual Station,,,,
