duration,start_station,end_station,plan_duration,st_year,st_month,st_day,st_hour,st_minute,end_year,end_month,end_day,end_hour,end_minute,bike_electric,pass_daypass,pass_indego30,pass_indego365,pass_walkup,trip_oneway,day_of_week,is_weekend,st_hr_sin,st_hr_cos,st_day_sin,st_day_cos,st_yr_sin,st_yr_cos
7,3204,3204,30,2023,8,31,19,55,2023,8,31,20,2,1,0,1,0,0,0,3,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392
15,3020,3155,7,2026,3,1,23,59,2026,3,2,0,14,1,0,0,0,0,1,6,1,-0.2588190451025215,0.965925826289068,0.9749279121818238,-0.2225209339563136,-0.5000000000000014,0.8660254037844378
19,3055,3331,365,2025,9,22,17,57,2025,9,22,18,16,1,0,0,1,0,1,0,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388
23,3161,3056,30,2025,10,27,7,8,2025,10,27,7,31,0,0,1,0,0,1,0,0,0.9659258262890684,-0.2588190451025206,-2.4492935982947064e-16,1.0,-0.4999999999999997,-0.8660254037844388
36,3057,3071,1,2021,10,23,11,39,2021,10,23,12,15,1,1,0,0,0,1,5,1,0.258819045102521,-0.9659258262890682,-0.4338837391175562,-0.90096886790242,-0.5000000000000004,0.8660254037844384
10,3059,3056,30,2021,9,19,14,46,2021,9,19,14,56,0,0,1,0,0,1,6,1,-0.4999999999999997,-0.8660254037844388,-4.898587196589413e-16,1.0,0.8660254037844384,0.5000000000000004
3,3100,3334,30,2023,9,6,16,46,2023,9,6,16,49,0,0,1,0,0,1,2,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
27,3300,3031,30,2023,10,28,2,2,2023,10,28,2,29,0,0,1,0,0,1,5,1,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,0.8660254037844386,0.5000000000000001
9,3359,3025,365,2024,6,11,17,3,2024,6,11,17,12,1,0,0,1,0,1,1,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388
6,3182,3125,365,2025,10,20,17,52,2025,10,20,17,58,1,0,0,1,0,1,0,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388
6,3120,3104,30,2024,11,3,16,58,2024,11,3,17,4,1,0,1,0,0,1,6,1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
6,3029,3162,365,2023,11,16,17,35,2023,11,16,17,41,1,0,0,1,0,1,3,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388
29,3059,3371,30,2024,5,17,16,45,2024,5,17,17,14,0,0,1,0,0,1,4,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
7,3063,3163,30,2024,6,11,7,16,2024,6,11,7,23,0,0,1,0,0,1,1,0,0.9659258262890684,-0.2588190451025206,-2.4492935982947064e-16,1.0,-0.4999999999999997,-0.8660254037844388
7,3154,3362,30,2024,12,18,13,10,2024,12,18,13,17,1,0,1,0,0,1,2,0,-0.2588190451025208,-0.9659258262890684,-0.781831482468029,0.6234898018587346,0.5,0.8660254037844386
15,3212,3212,30,2022,8,6,9,2,2022,8,6,9,17,0,0,1,0,0,0,5,1,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563141,-1.0,-1.8369701987210294e-16
27,3054,3158,30,2021,3,11,11,5,2021,3,11,11,32,1,0,1,0,0,1,3,0,0.258819045102521,-0.9659258262890682,-0.4338837391175562,-0.90096886790242,-0.5000000000000004,0.8660254037844384
5,3043,3034,30,2020,7,3,19,13,2020,7,3,19,18,1,0,1,0,0,1,4,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392
11,3020,3187,365,2024,3,30,10,50,2024,3,30,11,1,1,0,0,1,0,1,5,1,0.4999999999999999,-0.8660254037844387,0.4338837391175584,-0.9009688679024188,-0.8660254037844386,0.5000000000000001
